mechanism,requested_pct,column,actual_pct
MCAR,10,age,10.04
MCAR,10,creatinine_phosphokinase,10.04
MCAR,10,ejection_fraction,10.04
MCAR,10,platelets,10.04
MCAR,10,serum_creatinine,10.04
MCAR,10,serum_sodium,10.04
MCAR,10,time,10.04
MCAR,20,age,20.08
MCAR,20,creatinine_phosphokinase,20.08
MCAR,20,ejection_fraction,20.08
MCAR,20,platelets,20.08
MCAR,20,serum_creatinine,20.08
MCAR,20,serum_sodium,20.08
MCAR,20,time,20.08
MCAR,30,age,30.13
MCAR,30,creatinine_phosphokinase,30.13
MCAR,30,ejection_fraction,30.13
MCAR,30,platelets,30.13
MCAR,30,serum_creatinine,30.13
MCAR,30,serum_sodium,30.13
MCAR,30,time,30.13
MAR,10,serum_creatinine,10.04
MAR,10,ejection_fraction,10.04
MAR,10,serum_sodium,10.04
MAR,10,age,10.04
MAR,10,creatinine_phosphokinase,10.04
MAR,10,platelets,10.04
MAR,10,time,10.04
MAR,20,serum_creatinine,20.08
MAR,20,ejection_fraction,20.08
MAR,20,serum_sodium,20.08
MAR,20,age,20.08
MAR,20,creatinine_phosphokinase,20.08
MAR,20,platelets,20.08
MAR,20,time,20.08
MAR,30,serum_creatinine,30.13
MAR,30,ejection_fraction,30.13
MAR,30,serum_sodium,30.13
MAR,30,age,30.13
MAR,30,creatinine_phosphokinase,30.13
MAR,30,platelets,30.13
MAR,30,time,30.13
MNAR,10,ejection_fraction,10.04
MNAR,10,serum_creatinine,10.04
MNAR,10,serum_sodium,10.04
MNAR,10,age,10.04
MNAR,10,creatinine_phosphokinase,10.04
MNAR,10,platelets,10.04
MNAR,10,time,10.04
MNAR,20,ejection_fraction,20.08
MNAR,20,serum_creatinine,20.08
MNAR,20,serum_sodium,20.08
MNAR,20,age,20.08
MNAR,20,creatinine_phosphokinase,20.08
MNAR,20,platelets,20.08
MNAR,20,time,20.08
MNAR,30,ejection_fraction,30.13
MNAR,30,serum_creatinine,30.13
MNAR,30,serum_sodium,30.13
MNAR,30,age,30.13
MNAR,30,creatinine_phosphokinase,30.13
MNAR,30,platelets,30.13
MNAR,30,time,30.13
