experiment_id,mechanism,missing_pct,imputation_method,ga_state,seed,n_train,n_test,n_features,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,source_file
MCAR_10_MEAN_NOGA_RF_SEED42,MCAR,10,mean,NOGA,42,239,60,12,0.7666666666666667,0.7272727272727273,0.4210526315789473,0.5333333333333333,0.8626444159178432,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_MEDIAN_NOGA_RF_SEED42,MCAR,10,median,NOGA,42,239,60,12,0.7666666666666667,0.6923076923076923,0.4736842105263157,0.5625,0.8748395378690629,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_KNN_NOGA_RF_SEED42,MCAR,10,knn,NOGA,42,239,60,12,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8774069319640564,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_ITERATIVE_NOGA_RF_SEED42,MCAR,10,iterative,NOGA,42,239,60,12,0.7666666666666667,0.6923076923076923,0.4736842105263157,0.5625,0.8632862644415918,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_MEAN_NOGA_RF_SEED42,MCAR,20,mean,NOGA,42,239,60,12,0.75,0.6428571428571429,0.4736842105263157,0.5454545454545454,0.7946084724005135,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_MEDIAN_NOGA_RF_SEED42,MCAR,20,median,NOGA,42,239,60,12,0.7166666666666667,0.5625,0.4736842105263157,0.5142857142857142,0.7817715019255456,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_KNN_NOGA_RF_SEED42,MCAR,20,knn,NOGA,42,239,60,12,0.75,0.625,0.5263157894736842,0.5714285714285714,0.7997432605905007,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_ITERATIVE_NOGA_RF_SEED42,MCAR,20,iterative,NOGA,42,239,60,12,0.7666666666666667,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.7747111681643132,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_MEAN_NOGA_RF_SEED42,MCAR,30,mean,NOGA,42,239,60,12,0.7166666666666667,0.6,0.3157894736842105,0.4137931034482758,0.7509627727856227,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_MEDIAN_NOGA_RF_SEED42,MCAR,30,median,NOGA,42,239,60,12,0.7166666666666667,0.6,0.3157894736842105,0.4137931034482758,0.741976893453145,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_KNN_NOGA_RF_SEED42,MCAR,30,knn,NOGA,42,239,60,12,0.7333333333333333,0.6666666666666666,0.3157894736842105,0.4285714285714285,0.806803594351733,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_ITERATIVE_NOGA_RF_SEED42,MCAR,30,iterative,NOGA,42,239,60,12,0.75,0.75,0.3157894736842105,0.4444444444444444,0.7349165596919127,results/metrics/e1_e2_e3_multiseed.csv
