paper,authors,year,venue,doi_url,dataset,healthcare_task,mechanism,missingness_level,imputation_method,feature_selection,prediction_model,key_metrics,findings,limitations,relevance_to_rq
Chicco & Jurman (2020),"Chicco D, Jurman G",2020,BMC Medical Informatics and Decision Making 20:16,10.1186/s12911-020-1023-5,Heart Failure Clinical Records (this project's primary dataset),Heart failure survival prediction,none (complete data as published),none,none,Random forest importance ranking (not GA),Several ML classifiers,Accuracy/precision/recall/F1/MCC,Serum creatinine and ejection fraction alone predict survival as well as or better than the full 12-feature set,Single dataset (n=299) from one country/period; no missingness or GA analysis,"Origin paper for this project's dataset and target; directly relevant to RQ4 comparison and to interpreting this project's own GA-selected feature set (which also selected ejection_fraction and serum_creatinine most often)"
Breiman (2001),"Breiman L",2001,Machine Learning 45,10.1023/A:1010933404324,various (method paper),general classification/regression,n/a,n/a,n/a,n/a,Random Forest (introduces the algorithm),OOB error estimation,Bagging + random feature selection reduces variance without much bias increase,Predates healthcare-specific tuning discussions,Foundational citation for this project's choice of Random Forest as the downstream predictor
Leardi (1992),"Leardi R, Boggia R, Terrile M",1992,Journal of Chemometrics 6(5),10.1002/cem.1180060506,chemometric data,feature selection (chemometrics),n/a,n/a,n/a,Genetic algorithm (introduces GA for feature selection),n/a,GA is an effective search strategy for feature subset selection versus exhaustive/stepwise search,"Full text access-restricted (403); bibliographic metadata confirmed via publisher DOI page/index only, not full-text read",Foundational citation for this project's GA-based feature selection method
Rubin (1976),"Rubin DB",1976,Biometrika 63(3),n/a (pre-DOI era; Biometrika 63(3):581-592),n/a (theoretical),n/a,MCAR/MAR/MNAR (defines the typology),n/a,n/a,n/a,n/a,n/a,Defines the MCAR/MAR/MNAR missingness typology and when ignoring the missingness mechanism is valid for likelihood-based inference,Theoretical framework, not an empirical study,"Defines the exact MCAR/MAR/MNAR terminology this project's `src/missingness.py` implements"
Stekhoven & Buhlmann (2012),"Stekhoven DJ, Buhlmann P",2012,Bioinformatics 28(1),10.1093/bioinformatics/btr597,mixed-type simulated + real data,general (method paper),MCAR (simulated for evaluation),varied,MissForest (iterative RF-based imputation),none,none (imputation quality only),Normalized RMSE / proportion falsely classified,MissForest outperforms KNN/MICE-type approaches on mixed continuous/categorical data,"Iterative RF imputation is heavier than this project's mean/median/KNN/IterativeImputer set; this project's IterativeImputer is a lighter, defensible substitute per the master prompt's scope-control guidance",Justifies IterativeImputer as this project's 'ML-based' imputer in place of implementing full MissForest
Troyanskaya et al. (2001),"Troyanskaya O, Cantor M, Sherlock G, Brown P, Hastie T, Tibshirani R, Botstein D, Altman RB",2001,Bioinformatics 17(6),n/a (pre-DOI era; Bioinformatics 17(6):520-525),DNA microarray gene expression,gene expression (not healthcare-tabular),n/a,n/a,KNNimpute,none,none (imputation quality only),Normalized RMS error,KNN imputation outperforms row-average and SVD-based imputation on non-time-series data,Domain is microarray gene expression, not clinical tabular data,Foundational citation for this project's KNN imputer
van Buuren & Groothuis-Oudshoorn (2011),"van Buuren S, Groothuis-Oudshoorn K",2011,Journal of Statistical Software 45(3),n/a (JSS article, no external DOI listed in source),general (software paper),general,MAR (MICE's target assumption),n/a,MICE (multiple imputation by chained equations),none,none,n/a,Describes the widely-used MICE algorithm and its R implementation,Software/methods paper, not an empirical comparison,"Context for why MICE is a common comparator this project did not implement (scope control: IterativeImputer is used instead, as MICE's single-imputation analogue)"
Demsar (2006),"Demsar J",2006,Journal of Machine Learning Research 7,n/a (JMLR article),various UCI datasets,general ML benchmarking,n/a,n/a,n/a,n/a,various classifiers,Wilcoxon signed-rank / Friedman test statistics,Paired t-tests across folds inflate Type I error; recommends Wilcoxon signed-rank for 2-classifier comparison,Guidance is for comparing classifiers across many datasets, not seeds on one dataset,Methodological basis for this project's choice of paired t-test/Wilcoxon on repeated seeds in `docs/statistical_analysis.md`
Shadbahr et al. (2023),"Shadbahr T, Roberts M, Stanczuk J, Gilbey J, Teare P, Dittmer S, Thorpe M, Vinas Torne R, Sala E, Lio P, Patel M, Preller J, Rudd JHF, Mirtti T, Rannikko AS, Aston JAD, Tang J, Schonlieb C-B (AIX-COVNET Collaboration)",2023,Communications Medicine 3:139,10.1038/s43856-023-00356-z,3 simulated + 3 real-world clinical datasets,general clinical classification,MCAR/MAR/MNAR (simulated),varied,mean/KNN/MICE-type/deep-learning imputers compared,none,various classifiers,ANOVA-decomposed deviance,Test-set missingness rate explains most of the variance in downstream performance; imputation method choice matters comparatively little,Findings are about test-time missingness specifically, not train-time,"Directly supports this project's own finding that missingness itself (not imputer choice) is the statistically significant driver of performance loss (RQ1/RQ2)"
Ren et al. (2024),"Ren W, Liu Z, Wu Y, Zhang Z, Hong S, Liu H (MINDER Group)",2024,Health Data Science 4:0176,10.34133/hds.0176,46 reviewed EHR studies (2010-2024),general EHR-based prediction,various,various,MICE / KNN / ML- and DL-based methods (survey),none,various,summary of comparative accuracy across studies,ML/DL imputation methods generally outperform traditional statistical methods but no single method generalizes universally,Systematic review, not a new experiment,Broader literature context for RQ2 (which imputation method is best) — supports that the answer is dataset-dependent rather than universal
Aracri et al. (2025),"Aracri F, Bianco MG, Quattrone A, Sarica A",2025,Brain Sciences 15(6):639,10.3390/brainsci15060639,dementia clinical dataset,dementia classification,not explicitly MCAR/MAR/MNAR-labeled,n/a,mean/median/KNN/MICE/MissForest compared,none,Random Forest/Logistic Regression/SVM,Accuracy per imputer x classifier,MICE most consistent across classifiers; KNN and MissForest less stable; imputer effectiveness depends on the downstream classifier,Single dataset; McNemar's test used for classifier comparison not imputer significance,Directly comparable imputer-comparison study on a different clinical classification task; supports this project's finding that no imputer uniformly dominates
Yaqoob et al. (2025) [note: Seagull Optimization, not GA],"Yaqoob A, Verma NK, Mir MA, Tejani GG, Eisa NHB, Osman MH, Shah MA",2025,Scientific Reports (Nature),s41598-025-95786-1 (full text access-restricted; verified via search-indexed metadata),breast cancer gene expression,breast cancer diagnosis,n/a,n/a,none,Seagull Optimization Algorithm (SGA) — a different metaheuristic than this project's GA,Random Forest,accuracy/other classification metrics,SGA-selected features improve RF classification versus baseline,"Uses a different metaheuristic (Seagull Optimization) despite the 'GA-like' framing in casual descriptions; included as a related-but-distinct metaheuristic-plus-RF healthcare pipeline, not as GA evidence",Related metaheuristic+RF healthcare pipeline for contextualizing RQ3/RQ4 — explicitly NOT a genetic-algorithm result
Kumar & Sahoo (2017),"Kumar S, Sahoo G",2017,International Journal of Engineering (IJE) Transactions B 30(11),n/a (full-text PDF fetch blocked 403; bibliographic details from search-indexed metadata only, not independently read from primary source),cardiovascular disease dataset,cardiovascular disease diagnosis,n/a,n/a,none,Genetic Algorithm (compared against PCA/Relief-F/SFFS/SBFS),Random Forest,Accuracy,"GA+RF reported as highest accuracy (93.2%) among compared feature-selection methods, using 6 features",Verification limited to search-indexed summary; primary PDF could not be fetched to independently confirm the reported number,"Directly relevant GA+RF healthcare comparison point where GA reportedly helped — contrasts with this project's own mixed/negative GA result, useful for the discussion section"
Pudjihartono et al. (2022),"Pudjihartono N, Fadason T, Kempa-Liehr AW, O'Sullivan JM",2022,Frontiers in Bioinformatics 2:927312,10.3389/fbinf.2022.927312,n/a (review),disease risk prediction (genomic),n/a,n/a,n/a,Filter/wrapper/embedded methods reviewed (GA discussed as a wrapper search strategy),n/a,n/a,Recommends hybrid filter-then-wrapper/embedded approaches for genome-scale feature selection; GA is one heuristic wrapper search strategy among several,Focused on genomic/SNP feature selection, not general clinical tabular features,Contextualizes this project's GA choice as one of several wrapper strategies and supports discussing hybrid alternatives in future work
