seed,mechanism,missing_pct,method,n_train,n_test,n_features,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,runtime_seconds
42,MCAR,10,mean,239,60,12,0.7372141886046224,0.054112068304086006,0.7666666666666667,0.7272727272727273,0.42105263157894735,0.5333333333333333,0.8626444159178432,0.34096790000330657
42,MCAR,10,median,239,60,12,0.7647047237564479,0.07447307541989957,0.7666666666666667,0.6923076923076923,0.47368421052631576,0.5625,0.8748395378690629,0.4354124999954365
42,MCAR,10,knn,239,60,12,0.7627003827815186,0.05308269744103265,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8774069319640564,0.46971589999157004
42,MCAR,10,iterative,239,60,12,0.7474297573435504,0.0641319192086328,0.7666666666666667,0.6923076923076923,0.47368421052631576,0.5625,0.8632862644415918,0.46295840002130717
42,MCAR,20,mean,239,60,12,0.6605673895996477,0.052301676590123164,0.75,0.6428571428571429,0.47368421052631576,0.5454545454545454,0.7946084724005135,0.44695289997616783
42,MCAR,20,median,239,60,12,0.641529304029304,0.04236681801656064,0.7166666666666667,0.5625,0.47368421052631576,0.5142857142857142,0.7817715019255456,0.4477416999870911
42,MCAR,20,knn,239,60,12,0.6328127666837344,0.08456156390719677,0.75,0.625,0.5263157894736842,0.5714285714285714,0.7997432605905007,0.5265765000076499
42,MCAR,20,iterative,239,60,12,0.6522570566688213,0.048915342869382226,0.7666666666666667,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.7747111681643132,0.3326970999769401
42,MCAR,30,mean,239,60,12,0.6444713906782872,0.07457752588033756,0.7166666666666667,0.6,0.3157894736842105,0.41379310344827586,0.7509627727856227,0.31059629999799654
42,MCAR,30,median,239,60,12,0.6451596424010219,0.08114102073746812,0.7166666666666667,0.6,0.3157894736842105,0.41379310344827586,0.741976893453145,0.4556487000081688
42,MCAR,30,knn,239,60,12,0.6397205853727593,0.09263282978902511,0.7333333333333333,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.806803594351733,0.4866616000072099
42,MCAR,30,iterative,239,60,12,0.6589947089947089,0.07253889139307455,0.75,0.75,0.3157894736842105,0.4444444444444444,0.7349165596919127,0.48622389999218285
42,MAR,10,mean,239,60,12,0.7387392177714758,0.07459577165434861,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.8998716302952503,0.4477597000077367
42,MAR,10,median,239,60,12,0.7458303949437889,0.06806454090985609,0.85,0.8571428571428571,0.631578947368421,0.7272727272727273,0.8973042362002568,0.4518703000212554
42,MAR,10,knn,239,60,12,0.6892437511403029,0.09150522042537504,0.85,0.8125,0.6842105263157895,0.7428571428571429,0.9024390243902439,0.4415393999952357
42,MAR,10,iterative,239,60,12,0.7369448283352622,0.07847821074808946,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.8838254172015404,0.3845173000008799
42,MAR,20,mean,239,60,12,0.7165714285714285,0.06401912979408449,0.7666666666666667,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.8940949935815148,0.42581019998760894
42,MAR,20,median,239,60,12,0.735934065934066,0.06842157477505695,0.8,0.7692307692307693,0.5263157894736842,0.625,0.9043645699614891,0.40577339997980744
42,MAR,20,knn,239,60,12,0.7342644674166413,0.05187040992172657,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8632862644415917,0.4571507000073325
42,MAR,20,iterative,239,60,12,0.7068032454361055,0.04531988831480037,0.7666666666666667,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.8966623876765083,0.4637170999776572
42,MAR,30,mean,239,60,12,0.6503768386077231,0.11844530350289828,0.85,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.8985879332477534,0.4919528999889735
42,MAR,30,median,239,60,12,0.6650738916256158,0.09122487713690683,0.8666666666666667,0.8666666666666667,0.6842105263157895,0.7647058823529411,0.8985879332477535,0.3948003000114113
42,MAR,30,knn,239,60,12,0.6466927731799812,0.06652861428550914,0.9,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.9332477535301669,0.4606117999937851
42,MAR,30,iterative,239,60,12,0.5869016041429834,0.11336354581283234,0.8833333333333333,0.875,0.7368421052631579,0.8,0.8979460847240052,0.47589739999966696
42,MNAR,10,mean,239,60,12,0.7013045834402898,0.0873502677686621,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8947368421052632,0.3473872000176925
42,MNAR,10,median,239,60,12,0.722160368367265,0.08936176418526263,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.9050064184852374,0.3864848999946844
42,MNAR,10,knn,239,60,12,0.6693518518518518,0.07497621936659349,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.8876765083440308,0.45290609999210574
