mechanism,missing_pct,method,feature,mae,rmse
MCAR,10,mean,age,7.115505426356585,8.857734885740307
MCAR,10,mean,creatinine_phosphokinase,549.9864341085271,690.2156901551587
MCAR,10,mean,ejection_fraction,6.0,8.618713838588475
MCAR,10,mean,platelets,63890.35738565892,86785.70852701555
MCAR,10,mean,serum_creatinine,0.4447790697674418,0.6212224783329098
MCAR,10,mean,serum_sodium,3.375,4.8341001673133075
MCAR,10,mean,time,60.373255813953485,73.8404498098658
MCAR,10,median,age,6.666833333333334,8.394932340406324
MCAR,10,median,creatinine_phosphokinase,391.9166666666667,706.8341389604777
MCAR,10,median,ejection_fraction,6.0,8.621678104251709
MCAR,10,median,platelets,63104.42541666667,86262.8149190167
MCAR,10,median,serum_creatinine,0.37916666666666665,0.6661456297237114
MCAR,10,median,serum_sodium,3.375,4.920196473041837
MCAR,10,median,time,60.166666666666664,76.48529270389177
MCAR,20,mean,age,8.604166666666666,10.585350574206455
MCAR,20,mean,creatinine_phosphokinase,485.7904668411866,751.6062507436804
MCAR,20,mean,ejection_fraction,9.50185427574171,11.799221181971408
MCAR,20,mean,platelets,56848.18356566318,81251.60180027928
MCAR,20,mean,serum_creatinine,0.5803315881326352,1.2725798543744558
MCAR,20,mean,serum_sodium,3.1581588132635225,4.277484908392511
MCAR,20,mean,time,70.28861256544502,78.31066215649258
MCAR,20,median,age,8.645833333333334,10.646791378939792
MCAR,20,median,creatinine_phosphokinase,389.6458333333333,787.6740945128681
MCAR,20,median,ejection_fraction,9.395833333333334,11.755317945508747
MCAR,20,median,platelets,57671.29729166668,81993.24424778952
MCAR,20,median,serum_creatinine,0.5091666666666667,1.3094146274830853
MCAR,20,median,serum_sodium,3.2083333333333335,4.363675820528682
MCAR,20,median,time,70.08333333333333,79.33683465662928
MCAR,30,mean,age,9.185180555555556,11.476759222975094
MCAR,30,mean,creatinine_phosphokinase,510.4993346640054,726.664301975751
MCAR,30,mean,ejection_fraction,8.556636726546905,11.115360557971291
MCAR,30,mean,platelets,63872.74526862941,96899.06527307566
MCAR,30,mean,serum_creatinine,0.6096199268130407,1.239125208522242
MCAR,30,mean,serum_sodium,2.9851962741184304,3.962707531961023
MCAR,30,mean,time,66.98694278110446,79.18874016423378
MCAR,30,median,age,9.203708333333333,11.57250386392485
MCAR,30,median,creatinine_phosphokinase,408.77777777777777,746.2177407879464
MCAR,30,median,ejection_fraction,8.875,11.375534175491618
MCAR,30,median,platelets,64489.19819444444,97252.37935602057
MCAR,30,median,serum_creatinine,0.5115277777777778,1.2749613283895669
MCAR,30,median,serum_sodium,3.0277777777777777,4.02077936060494
MCAR,30,median,time,70.31944444444444,84.07594120132637
MAR,10,mean,serum_creatinine,0.7303798449612403,1.7364152908725665
MAR,10,mean,ejection_fraction,8.958333333333334,11.442436528323206
MAR,10,mean,serum_sodium,3.125,4.330141486481836
MAR,10,median,serum_creatinine,0.7533333333333333,1.8102301879411176
MAR,10,median,ejection_fraction,8.958333333333334,11.440061188647551
MAR,10,median,serum_sodium,3.125,4.420595736624948
MAR,20,mean,serum_creatinine,0.5456555410122164,1.2753310990102327
MAR,20,mean,ejection_fraction,10.877726876090753,12.952198902369098
MAR,20,mean,serum_sodium,2.855693717277486,4.277484040597917
MAR,20,median,serum_creatinine,0.5647916666666666,1.3368908270062048
MAR,20,median,ejection_fraction,10.854166666666666,12.931711668091996
MAR,20,median,serum_sodium,2.8125,4.342138490037676
MAR,30,mean,serum_creatinine,0.5853343313373254,1.2589342791271028
MAR,30,mean,ejection_fraction,10.231204258150363,13.192734396009872
MAR,30,mean,serum_sodium,3.132401862940785,4.635856380198933
MAR,30,median,serum_creatinine,0.5686111111111111,1.3138799623845232
MAR,30,median,ejection_fraction,10.555555555555555,13.71333495381614
MAR,30,median,serum_sodium,3.138888888888889,4.681523968396046
MNAR,10,mean,ejection_fraction,10.48158914728682,11.954181162622303
MNAR,10,mean,serum_creatinine,0.6308333333333332,1.0195598528247265
MNAR,10,mean,serum_sodium,4.439922480620152,6.60445695205234
MNAR,10,median,ejection_fraction,9.958333333333334,11.49456393257265
MNAR,10,median,serum_creatinine,0.7025,1.1405919515760228
MNAR,10,median,serum_sodium,4.5,6.677075208003377
MNAR,20,mean,ejection_fraction,10.504908376963352,12.497169918928297
MNAR,20,mean,serum_creatinine,0.793444589877836,1.7096242514143016
MNAR,20,mean,serum_sodium,3.514179755671899,4.929103418105801
MNAR,20,median,ejection_fraction,9.5625,11.691342951089922
MNAR,20,median,serum_creatinine,0.8920833333333333,1.8231303208127132
MNAR,20,median,serum_sodium,3.5,4.915960401250875
MNAR,30,mean,ejection_fraction,10.023286759813708,12.145302855042825
MNAR,30,mean,serum_creatinine,0.7547222222222223,1.6723046209075025
MNAR,30,mean,serum_sodium,3.7728709248170387,5.6748953236614215
MNAR,30,median,ejection_fraction,8.777777777777779,11.07925990308017
MNAR,30,median,serum_creatinine,0.8386111111111112,1.7588956446841548
MNAR,30,median,serum_sodium,3.375,5.363197636568029
