mechanism,missing_pct,method,feature,mae,rmse
MCAR,10,knn,age,8.847225000000002,10.328127039707313
MCAR,10,knn,creatinine_phosphokinase,550.5416666666666,787.2870410466567
MCAR,10,knn,ejection_fraction,5.925000000000001,8.769549589346079
MCAR,10,knn,platelets,76995.88508333334,98816.01237548413
MCAR,10,knn,serum_creatinine,0.46075,0.6792305695908177
MCAR,10,knn,serum_sodium,3.458333333333332,4.807806152498246
MCAR,10,knn,time,60.54999999999999,72.83936664560815
MCAR,20,knn,age,9.141666666666667,11.249888888340188
MCAR,20,knn,creatinine_phosphokinase,625.5041666666666,950.8526081890926
MCAR,20,knn,ejection_fraction,9.612499999999999,11.868059375202558
MCAR,20,knn,platelets,73106.78533333335,93665.41305013685
MCAR,20,knn,serum_creatinine,0.6023333333333333,1.3244743611460863
MCAR,20,knn,serum_sodium,3.3000000000000003,4.52014011582237
MCAR,20,knn,time,73.05416666666667,86.20677177577177
MCAR,30,knn,age,9.629625,11.766471014072147
MCAR,30,knn,creatinine_phosphokinase,740.2277777777778,1031.1496141039217
MCAR,30,knn,ejection_fraction,11.383333333333333,13.947799507847504
MCAR,30,knn,platelets,68232.33880555556,101006.21213881536
MCAR,30,knn,serum_creatinine,0.6418611111111111,1.2923350313805368
MCAR,30,knn,serum_sodium,3.1722222222222234,4.268098718008603
MCAR,30,knn,time,64.26666666666667,78.29587756992346
MAR,10,knn,serum_creatinine,0.9301666666666666,1.6714925465981996
MAR,10,knn,ejection_fraction,9.891666666666667,13.069493741789184
MAR,10,knn,serum_sodium,3.05833333333333,4.356030302924901
MAR,10,knn,age,11.258333333333335,14.2801143786269
MAR,10,knn,creatinine_phosphokinase,865.8416666666667,1740.2855555913804
MAR,10,knn,platelets,69063.06566666668,87460.95438619406
MAR,10,knn,time,69.01666666666667,83.24481965864302
MAR,20,knn,serum_creatinine,0.634625,1.235048008513569
MAR,20,knn,ejection_fraction,11.283333333333333,13.816837554230707
MAR,20,knn,serum_sodium,3.1624999999999983,4.8357178026293735
MAR,20,knn,age,8.840270833333333,11.641856317651122
MAR,20,knn,creatinine_phosphokinase,409.3916666666667,518.8533977274634
MAR,20,knn,platelets,72392.823875,103592.13864395297
MAR,20,knn,time,79.96666666666667,93.72109332126537
MAR,30,knn,serum_creatinine,0.7357222222222223,1.3169897493906322
MAR,30,knn,ejection_fraction,12.45277777777778,15.270287052530044
MAR,30,knn,serum_sodium,3.563888888888889,4.9430647263503324
MAR,30,knn,age,10.53147222222222,12.997310928077049
MAR,30,knn,creatinine_phosphokinase,502.85555555555555,855.5718581419356
MAR,30,knn,platelets,78686.0938611111,100912.1281583041
MAR,30,knn,time,73.36666666666666,85.91388453303433
MNAR,10,knn,ejection_fraction,9.558333333333332,12.348076773327902
MNAR,10,knn,serum_creatinine,0.6577500000000002,1.0515483029006956
MNAR,10,knn,serum_sodium,4.841666666666669,6.872772366374435
MNAR,10,knn,age,6.063891666666668,8.093377539795526
MNAR,10,knn,creatinine_phosphokinase,788.8916666666668,1046.835441541156
MNAR,10,knn,platelets,77327.46966666667,101581.99624886227
MNAR,10,knn,time,68.47500000000001,75.71110662687917
MNAR,20,knn,ejection_fraction,10.145833333333334,12.9117840233899
MNAR,20,knn,serum_creatinine,0.8606666666666666,1.7570969903034188
MNAR,20,knn,serum_sodium,4.449999999999999,5.917629029715645
MNAR,20,knn,age,10.381950000000002,12.949687741216001
MNAR,20,knn,creatinine_phosphokinase,628.1708333333332,1299.5534242577332
MNAR,20,knn,platelets,110958.89899999999,134858.0923067582
MNAR,20,knn,time,75.97083333333333,87.09435018032647
MNAR,30,knn,ejection_fraction,13.008333333333333,15.327915709580347
MNAR,30,knn,serum_creatinine,0.7888055555555555,1.6943990576799393
MNAR,30,knn,serum_sodium,3.924999999999999,5.663283303683276
MNAR,30,knn,age,11.100000000000001,13.748292823312848
MNAR,30,knn,creatinine_phosphokinase,695.7444444444444,1348.901000815108
MNAR,30,knn,platelets,85500.34975,114615.65215377044
MNAR,30,knn,time,91.24166666666667,104.37724049491504
